year,class,female,femalespeers,malespeers,continue_or_grad,company_n,totpeople
78,1,0,1,37,1,D-3,39
78,1,0,1,37,0,D-3,39
78,1,0,1,37,0,D-3,39
78,1,0,1,37,1,D-3,39
78,1,0,1,37,1,D-3,39
78,1,0,1,37,1,D-3,39
78,1,0,1,37,0,D-3,39
78,1,0,1,37,1,D-3,39
78,1,0,1,37,1,D-3,39
78,1,1,1,37,0,D-3,39
78,1,0,1,37,1,D-3,39
78,1,0,1,37,1,D-3,39
78,1,0,1,37,1,D-3,39
78,1,0,1,37,1,D-3,39
78,1,0,1,37,1,D-3,39
78,1,0,1,37,0,D-3,39
78,1,0,1,37,1,D-3,39
78,1,0,1,37,1,D-3,39
78,1,0,1,37,0,D-3,39
78,1,0,1,37,1,D-3,39
78,1,0,1,37,1,D-3,39
78,1,0,1,37,1,D-3,39
78,1,0,1,37,1,D-3,39
78,1,0,1,37,1,D-3,39
78,1,0,1,37,0,D-3,39
78,1,0,1,37,1,D-3,39
78,1,0,1,37,1,D-3,39
78,1,0,1,37,1,D-3,39
78,1,0,1,37,1,D-3,39
78,1,0,1,37,1,D-3,39
78,1,0,1,37,0,D-3,39
78,1,0,1,37,1,D-3,39
78,1,0,1,37,0,D-3,39
78,1,0,1,37,0,D-3,39
78,1,0,1,37,0,D-3,39
78,1,0,1,37,1,D-3,39
78,1,0,1,37,1,D-3,39
78,1,0,1,33,1,D-4,35
78,1,0,1,33,1,D-4,35
78,1,0,1,33,1,D-4,35
78,1,0,1,33,1,D-4,35
78,1,0,1,33,0,D-4,35
78,1,0,1,33,1,D-4,35
78,1,0,1,33,1,D-4,35
78,1,0,1,33,1,D-4,35
78,1,0,1,33,1,D-4,35
78,1,0,1,33,1,D-4,35
78,1,0,1,33,1,D-4,35
78,1,0,1,33,1,D-4,35
78,1,0,1,33,0,D-4,35
78,1,0,1,33,1,D-4,35
78,1,0,1,33,1,D-4,35
78,1,0,1,33,1,D-4,35
78,1,0,1,33,1,D-4,35
78,1,0,1,33,1,D-4,35
78,1,0,1,33,1,D-4,35
78,1,0,1,33,1,D-4,35
78,1,0,1,33,1,D-4,35
78,1,0,1,33,1,D-4,35
78,1,0,1,33,1,D-4,35
78,1,0,1,33,1,D-4,35
78,1,0,1,33,1,D-4,35
78,1,0,1,33,1,D-4,35
78,1,0,1,33,1,D-4,35
78,1,0,1,33,1,D-4,35
78,1,0,1,33,1,D-4,35
78,1,0,1,33,1,D-4,35
78,1,0,1,33,1,D-4,35
78,1,0,1,33,1,D-4,35
78,1,1,1,33,0,D-4,35
78,1,0,1,33,1,D-4,35
78,1,0,4,34,1,E-1,39
78,1,0,4,34,0,E-1,39
78,1,0,4,34,1,E-1,39
78,1,0,4,34,1,E-1,39
78,1,0,4,34,1,E-1,39
78,1,1,4,34,1,E-1,39
78,1,0,4,34,0,E-1,39
78,1,0,4,34,0,E-1,39
78,1,0,4,34,0,E-1,39
78,1,0,4,34,1,E-1,39
78,1,0,4,34,1,E-1,39
78,1,1,4,34,0,E-1,39
78,1,0,4,34,1,E-1,39
78,1,0,4,34,1,E-1,39
78,1,0,4,34,1,E-1,39
78,1,0,4,34,1,E-1,39
78,1,0,4,34,1,E-1,39
78,1,0,4,34,1,E-1,39
78,1,0,4,34,1,E-1,39
78,1,1,4,34,1,E-1,39
78,1,0,4,34,0,E-1,39
78,1,0,4,34,1,E-1,39
78,1,0,4,34,0,E-1,39
78,1,0,4,34,1,E-1,39
78,1,0,4,34,1,E-1,39
78,1,0,4,34,0,E-1,39
78,1,0,4,34,0,E-1,39
78,1,0,4,34,1,E-1,39
78,1,0,4,34,1,E-1,39
78,1,0,4,34,0,E-1,39
78,1,1,4,34,1,E-1,39
78,1,0,4,34,1,E-1,39
78,1,0,4,34,1,E-1,39
78,1,0,4,34,1,E-1,39
78,1,0,4,34,1,E-1,39
78,1,0,4,34,1,E-1,39
78,1,0,4,34,1,E-1,39
78,1,0,4,34,1,E-1,39
78,1,0,0,38,1,E-2,39
78,1,0,0,38,1,E-2,39
78,1,0,0,38,1,E-2,39
78,1,0,0,38,1,E-2,39
78,1,0,0,38,1,E-2,39
78,1,0,0,38,1,E-2,39
78,1,0,0,38,1,E-2,39
78,1,0,0,38,1,E-2,39
78,1,0,0,38,1,E-2,39
78,1,0,0,38,1,E-2,39
78,1,0,0,38,1,E-2,39
78,1,0,0,38,1,E-2,39
78,1,0,0,38,1,E-2,39
78,1,0,0,38,1,E-2,39
78,1,0,0,38,1,E-2,39
78,1,0,0,38,1,E-2,39
78,1,0,0,38,0,E-2,39
78,1,0,0,38,1,E-2,39
78,1,0,0,38,1,E-2,39
78,1,0,0,38,0,E-2,39
78,1,0,0,38,0,E-2,39
78,1,0,0,38,1,E-2,39
78,1,0,0,38,0,E-2,39
78,1,0,0,38,1,E-2,39
78,1,0,0,38,1,E-2,39
78,1,0,0,38,1,E-2,39
78,1,0,0,38,1,E-2,39
78,1,0,0,38,1,E-2,39
78,1,0,0,38,1,E-2,39
78,1,0,0,38,1,E-2,39
78,1,0,0,38,1,E-2,39
78,1,0,0,38,1,E-2,39
78,1,0,0,38,1,E-2,39
78,1,0,0,38,1,E-2,39
78,1,0,0,38,0,E-2,39
78,1,0,0,38,0,E-2,39
78,1,0,0,38,1,E-2,39
78,1,0,0,38,1,E-2,39
78,2,0,4,29,1,E-2,34
78,2,0,4,29,1,E-2,34
78,1,0,0,35,0,E-3,36
78,1,0,0,35,1,E-3,36
78,1,0,0,35,1,E-3,36
78,1,0,0,35,0,E-3,36
78,1,0,0,35,0,E-3,36
78,1,0,0,35,1,E-3,36
78,1,0,0,35,1,E-3,36
78,1,0,0,35,1,E-3,36
78,1,0,0,35,1,E-3,36
78,1,0,0,35,1,E-3,36
78,1,0,0,35,0,E-3,36
78,1,0,0,35,1,E-3,36
78,1,0,0,35,0,E-3,36
78,1,0,0,35,1,E-3,36
78,1,0,0,35,1,E-3,36
78,1,0,0,35,0,E-3,36
78,1,0,0,35,1,E-3,36
78,1,0,0,35,1,E-3,36
78,1,0,0,35,1,E-3,36
78,1,0,0,35,1,E-3,36
78,1,0,0,35,1,E-3,36
78,1,0,0,35,1,E-3,36
78,1,0,0,35,1,E-3,36
78,1,0,0,35,1,E-3,36
78,1,0,0,35,1,E-3,36
78,1,0,0,35,1,E-3,36
78,1,0,0,35,1,E-3,36
78,1,0,0,35,1,E-3,36
78,1,0,0,35,1,E-3,36
78,1,0,0,35,1,E-3,36
78,1,0,0,35,1,E-3,36
78,1,0,0,35,1,E-3,36
78,1,0,0,35,1,E-3,36
78,1,0,0,35,1,E-3,36
78,1,0,0,35,1,E-3,36
78,2,0,3,29,0,E-3,33
78,1,0,0,38,0,E-4,39
78,1,0,0,38,1,E-4,39
78,1,0,0,38,1,E-4,39
78,1,0,0,38,1,E-4,39
78,1,0,0,38,1,E-4,39
78,1,0,0,38,1,E-4,39
78,1,0,0,38,1,E-4,39
78,1,0,0,38,1,E-4,39
78,1,0,0,38,1,E-4,39
78,1,0,0,38,1,E-4,39
78,1,0,0,38,1,E-4,39
78,1,0,0,38,1,E-4,39
78,1,0,0,38,1,E-4,39
78,1,0,0,38,1,E-4,39
78,1,0,0,38,0,E-4,39
78,1,0,0,38,1,E-4,39
78,1,0,0,38,1,E-4,39
78,1,0,0,38,1,E-4,39
78,1,0,0,38,1,E-4,39
78,1,0,0,38,1,E-4,39
78,1,0,0,38,1,E-4,39
78,1,0,0,38,1,E-4,39
78,1,0,0,38,0,E-4,39
78,1,0,0,38,1,E-4,39
78,1,0,0,38,0,E-4,39
78,1,0,0,38,1,E-4,39
78,1,0,0,38,1,E-4,39
78,1,0,0,38,1,E-4,39
78,1,0,0,38,1,E-4,39
78,1,0,0,38,1,E-4,39
78,1,0,0,38,1,E-4,39
78,1,0,0,38,1,E-4,39
78,1,0,0,38,1,E-4,39
78,1,0,0,38,1,E-4,39
78,1,0,0,38,1,E-4,39
78,1,0,0,38,0,E-4,39
78,1,0,0,38,0,E-4,39
78,1,0,0,38,1,E-4,39
78,2,0,3,28,0,E-4,32
78,1,0,0,37,0,F-1,38
78,1,0,0,37,1,F-1,38
78,1,0,0,37,1,F-1,38
78,1,0,0,37,0,F-1,38
78,1,0,0,37,1,F-1,38
78,1,0,0,37,1,F-1,38
78,1,0,0,37,1,F-1,38
78,1,0,0,37,1,F-1,38
